scan_id,quality,angle_deg,distance_mm,x_mm,y_mm
5,15,136.4,1302.2,-943.2,898.0
5,15,177.2,2224.5,-2221.9,107.3
5,15,178.7,2238.2,-2237.7,51.3
5,12,180.2,2200.8,-2200.7,-7.2
5,15,241.4,367.2,-175.8,-322.5
5,15,246.3,334.5,-134.6,-306.2
5,15,248.0,326.0,-122.4,-302.2
5,15,249.5,318.2,-111.7,-298.0
5,15,250.9,311.2,-101.8,-294.1
5,15,253.0,304.2,-89.2,-290.9
5,15,254.5,297.5,-79.4,-286.7
5,15,255.5,292.0,-73.3,-282.6
5,15,257.1,287.0,-63.9,-279.8
5,15,258.6,281.8,-55.6,-276.2
5,15,260.5,277.0,-45.6,-273.2
5,15,262.7,273.0,-34.8,-270.8
5,15,263.1,269.2,-32.2,-267.3
5,15,266.0,265.8,-18.3,-265.1
5,15,267.4,262.8,-12.0,-262.5
5,15,267.9,259.5,-9.6,-259.3
5,15,270.2,257.0,0.7,-257.0
5,15,272.7,254.5,11.9,-254.2
5,15,272.9,252.2,12.7,-251.9
5,15,274.9,250.5,21.4,-249.6
5,15,277.5,248.8,32.7,-246.6
5,15,279.0,247.0,38.7,-243.9
5,15,280.5,246.0,44.9,-241.9
5,15,281.2,245.0,47.8,-240.3
5,15,281.4,244.0,48.3,-239.2
5,15,283.2,243.5,55.7,-237.0
5,15,291.0,2112.2,755.9,-1972.4
5,15,292.5,2097.0,801.4,-1937.8
5,15,293.9,2077.5,842.9,-1898.8
5,15,295.4,2053.8,880.6,-1855.4
5,15,304.7,391.0,222.3,-321.6
5,15,306.1,390.5,230.2,-315.4
5,15,313.5,1375.8,947.0,-997.9
5,15,314.9,1414.8,999.3,-1001.5
5,15,316.4,1453.0,1052.1,-1002.2
5,15,322.1,2035.8,1605.9,-1251.1
5,13,323.6,2047.0,1646.8,-1215.8
5,15,325.0,2063.5,1691.0,-1182.7
5,15,326.5,2074.0,1729.5,-1144.7
5,15,328.0,2094.2,1775.4,-1110.8
5,15,329.5,2110.0,1817.7,-1071.4
5,15,331.0,2121.5,1854.7,-1030.0
5,15,336.1,539.0,492.8,-218.4
5,15,337.4,530.2,489.4,-204.1
5,15,340.5,492.2,464.1,-163.9
5,15,342.2,502.2,478.1,-153.9
5,15,343.3,516.0,494.3,-148.2
5,15,344.9,531.2,512.8,-138.6
6,15,351.5,2713.5,2683.5,-402.5
6,15,352.9,2783.5,2762.3,-343.0
6,15,354.4,2856.5,2842.7,-280.0
6,15,355.8,2932.5,2924.7,-213.3
6,15,357.3,3020.2,3016.9,-141.6
6,15,358.8,3113.2,3112.5,-67.1
6,15,0.2,3205.5,3205.5,12.2
6,15,3.2,3416.5,3411.3,188.1
6,15,17.8,5284.5,5032.5,1612.4
6,15,19.2,5285.2,4990.2,1741.1
6,15,20.7,5220.8,4883.1,1847.0
6,15,22.2,5150.8,4768.8,1946.4
6,15,23.7,5092.5,4663.5,2045.9
6,15,25.1,5049.8,4571.4,2145.3
6,15,26.6,5020.2,4487.3,2251.0
6,15,68.0,4946.5,1849.2,4587.8
6,15,69.5,5043.0,1764.8,4724.1
6,15,71.0,5127.2,1669.3,4847.9
6,15,72.5,5237.2,1579.0,4993.6
6,15,73.9,5355.8,1483.3,5146.3
6,15,77.4,1862.0,407.5,1816.9
6,15,78.9,1869.5,361.2,1834.3
6,15,80.3,1899.0,320.1,1871.8
6,15,81.8,1940.5,276.9,1920.6
6,15,85.7,7036.0,532.9,7015.8
6,15,90.2,3871.0,-15.8,3871.0
6,15,91.7,3778.8,-114.4,3777.0
6,15,100.7,3033.8,-561.0,2981.4
6,15,107.8,8958.2,-2731.1,8531.8
6,15,109.2,8836.8,-2911.1,8343.5
6,15,110.7,8723.0,-3081.6,8160.6
6,15,114.0,2984.0,-1212.2,2726.7
6,15,115.5,2964.0,-1273.8,2676.3
6,15,116.9,2939.5,-1330.9,2620.9
6,15,122.5,8672.2,-4659.6,7314.1
6,15,125.5,7107.0,-4127.1,5785.9
6,15,129.9,7214.2,-4628.2,5534.0
6,15,136.8,1307.0,-952.2,895.3
6,15,179.2,2190.5,-2190.3,31.1
6,15,242.1,364.2,-170.7,-321.8
6,15,244.8,340.8,-145.0,-308.4
6,15,246.9,332.2,-130.6,-305.5
6,15,248.6,324.2,-118.2,-301.9
6,15,249.6,316.5,-110.2,-296.7
6,15,251.5,308.5,-98.0,-292.5
6,15,252.8,301.2,-89.3,-287.7
6,15,254.4,296.0,-79.6,-285.1
6,15,256.8,290.2,-66.4,-282.6
6,15,258.3,284.2,-57.8,-278.3
6,15,259.6,279.8,-50.4,-275.2
6,15,261.8,275.8,-39.6,-272.9
6,15,262.8,271.5,-34.0,-269.4
6,15,264.1,268.0,-27.4,-266.6
6,15,265.8,264.8,-19.3,-264.0
6,15,267.0,261.8,-13.9,-261.4
6,15,268.6,259.0,-6.4,-258.9
6,15,269.9,255.8,-0.3,-255.7
6,15,271.9,253.5,8.5,-253.4
6,15,272.8,252.0,12.4,-251.7
6,15,274.4,250.0,19.3,-249.3
6,15,277.6,248.2,32.9,-246.1
6,15,279.5,247.0,40.8,-243.6
6,15,280.4,245.5,44.1,-241.5
6,15,282.4,244.5,52.5,-238.8
6,15,282.1,243.5,51.1,-238.1
6,15,283.6,242.8,57.2,-235.9
6,15,284.8,243.0,62.0,-235.0
6,15,291.5,2109.5,774.2,-1962.3
6,15,293.0,2091.8,816.3,-1925.9
6,14,294.5,2066.5,857.5,-1880.2
6,15,296.0,2049.5,897.4,-1842.6
6,15,305.0,390.8,223.9,-320.3
6,15,312.7,1368.0,927.2,-1005.8
6,15,315.5,1432.5,1021.7,-1004.1
6,15,321.2,2029.2,1580.8,-1272.3
6,15,322.7,2042.0,1623.4,-1238.7
6,15,324.1,2053.0,1663.5,-1203.1
6,15,325.6,2064.2,1702.5,-1167.3
6,15,327.1,2080.2,1746.5,-1130.1
6,15,328.6,2096.2,1788.5,-1093.3
6,15,330.0,2112.0,1829.6,-1055.0
6,15,331.5,2134.0,1875.1,-1018.8
6,15,336.5,536.5,491.8,-214.3
6,15,339.8,491.0,460.7,-169.9
6,15,341.2,495.8,469.3,-159.7
6,15,342.6,507.2,484.0,-151.9
6,15,344.0,521.0,500.9,-143.3
7,15,352.0,2748.2,2721.4,-383.2
7,15,353.4,2814.8,2796.3,-321.7
7,15,354.9,2888.5,2877.1,-256.5
7,15,356.3,2969.0,2963.0,-189.3
7,15,357.8,3058.0,3055.8,-116.7
7,15,359.3,3142.8,3142.5,-40.3
7,15,0.7,3232.2,3232.0,41.4
7,15,3.6,3466.2,3459.3,220.1
7,15,18.3,5302.0,5033.5,1665.9
7,15,19.8,5235.8,4926.3,1773.3
7,15,21.3,5180.0,4826.8,1880.1
7,15,22.8,5126.5,4727.1,1983.8
7,15,24.2,5090.5,4642.5,2088.2
7,15,25.7,5051.2,4550.8,2192.0
7,15,65.6,5836.5,2408.8,5316.3
7,15,68.6,4967.8,1810.6,4626.0
7,15,70.1,5082.2,1731.7,4778.1
7,15,71.6,5205.5,1646.3,4938.3
7,15,73.0,5302.5,1547.5,5071.7
7,15,74.5,5407.0,1445.0,5210.3
7,15,78.0,1854.8,386.6,1814.0
7,15,79.5,1874.2,343.1,1842.6
7,15,80.9,1906.5,301.3,1882.5
7,15,86.2,7151.0,471.6,7135.4
7,15,90.8,3835.5,-56.5,3835.1
7,15,105.4,9340.0,-2476.4,9005.7
7,15,108.3,8927.5,-2805.0,8475.4
7,15,109.8,8835.5,-2992.5,8313.3
7,15,113.1,2992.5,-1173.0,2753.0
7,15,114.5,2980.8,-1237.6,2711.7
7,15,116.0,2961.8,-1299.1,2661.6
7,15,117.5,2935.5,-1356.2,2603.5
7,15,124.6,7176.8,-4073.0,5909.0
7,15,134.3,1329.8,-929.2,951.2
7,15,135.9,1299.0,-932.5,904.4
7,15,158.1,126.0,-116.9,46.9
7,15,164.8,123.5,-119.2,32.5
7,15,175.2,2205.2,-2197.5,184.4
7,15,208.1,1693.5,-1494.2,-797.1
7,15,219.9,1706.5,-1309.6,-1094.1
7,15,240.9,369.5,-179.8,-322.8
7,15,243.8,348.0,-153.4,-312.4
7,15,246.0,338.2,-137.7,-309.0
7,15,247.6,328.8,-125.4,-303.9
7,15,248.7,320.2,-116.5,-298.3
7,15,250.7,312.8,-103.3,-295.2
7,15,252.4,306.2,-92.7,-291.9
7,15,253.7,299.2,-84.2,-287.2
